Region,Site,Species,Treatment,Time,Nubbin,Nubbin ID,Protein cm2,Dino.density,Chla cell,Chla cm2,Pocilloporin,Holobiont,Time2
Heron,Harry's Bommie,Pocillopora,Adult,After,new,HA001,0.490924931,1.304588037,0.771480237,1.006463889,0.594849718,PdamC33a_sGBR,During-After
Heron,Harry's Bommie,Pocillopora,Adult,After,original,HA003,0.796657907,0.371908403,3.781752275,1.406465449,0.645162599,PdamC33a_sGBR,During-After
Heron,Harry's Bommie,Pocillopora,Adult,After,new,HA004,0.550967795,0.465587702,1.481341292,0.689694289,0.247080989,PdamC33a_sGBR,During-After
Heron,Harry's Bommie,Pocillopora,Adult,After,new,HA005,0.812695815,0.663007378,1.528988986,1.013730978,0.337913883,PdamC33a_sGBR,During-After
Heron,Coral Canyons,Pocillopora,Adult,After,new,HA019,0.317634029,0.209884715,4.944812826,1.037840632,0.659804731,PdamC33a_sGBR,During-After
Heron,Coral Canyons,Pocillopora,Adult,After,original,HA024,2.010501266,1.734788426,0.664639407,1.153008751,1.740430264,PdamC. latusorum,During-After
Heron,Pam's Point,Pocillopora,Adult,After,original,HA035,0.655744617,0.224560153,4.894100529,1.099019963,0.971815907,PdamC33a_sGBR,During-After
Heron,Pam's Point,Pocillopora,Adult,After,new,HA039,0.702094031,0.59358859,3.499494624,2.077260079,0.620354,PdamC33a_sGBR,During-After
Heron,Pam's Point,Pocillopora,Adult,After,new,HA040,0.857991339,0.834463708,2.336336441,1.94958797,0.493232975,PdamC33a_sGBR,During-After
Heron,Harry's Bommie,Stylophora,Adult,After,original,HA050,0.87387002,0.578594841,2.125524897,1.229817741,0.346845872,C78a,During-After
Heron,Harry's Bommie,Stylophora,Adult,After,original,HA051,1.445795834,0.882743528,1.726429343,1.523994329,0.35570707,C78a,During-After
Heron,Coral Canyons,Stylophora,Adult,After,original,HA066,0.982729745,1.247264163,1.352548174,1.686984867,0.8789265,C78a,During-After
