,Sample_ID,Date.x,Region,Site,Genus,Treatment,Symbiont_ITS,Symbiont_speciesID,psba_sequence,Coral_speciesID,Holobiont_ID,Holobiont_ID2,Holobiont_ID_Region,Whole.colony.tag,Ethanol.x,Field.notes,DGGE.profile.notes,comments.psba,Fraction,Fraction.detail,Fraction.detail_c,Fraction.detail_b,Time,Time2,Lab_ID,d15N,d13C,Weight_mg,Kim_C.percent,Kim_N.percent,Weight_mg.1,C_percent.weight,C_percent.weight.num,C_mg,N_percent.weight,N_percent.weight.num,N_mg,CN_molar,Mycrosporine.glycine,Palythine,Asterina,Shinorine,Nubbin,Nubbin_ID,Protein_cm2,Dino.density,Chla_cell,Chla_cm2,Pocilloporin,Date.y,Colony.tag,Ethanol.y,Field_notes,Plank.Day.Night,Fraction_Plank,Big.delta.15N,Big.delta.13C,N_ug,C_ug,Volume_L
1,HA001,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5919,4.3,-16.5,5.03,20.64,4.35,5.03,0.206,20.6,1.038,0.044,4.4,0.219,5.5,0.566,0.511,0.452,0.435,original,HA001,0.821340644,0.789438084,1.485403413,1.172634024,NA,4/12/19,Yes,Yes,,,,NA,NA,NA,NA,NA
2,HA002,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam_clade II,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5840,4.5,-17.9,5.049,18.8,4.19,5.049,0.188,18.8,0.949,0.042,4.2,0.211,5.2,0.507,0.443,0.385,0.365,original,HA002,1.18554764,1.411967162,2.376855413,3.356041791,NA,4/12/19,Yes,Yes,,,,NA,3.2,NA,NA,NA
3,HA002,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam_clade II,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,11091,NA,-21.1,0.18,44.97,4.87,0.184,0.45,45,0.083,0.049,4.9,0.009,10.8,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
4,HA003,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,After,During/After,10983,5.5,-17.1,5.39,9,1.96,5.389,0.09,9,0.485,0.02,2,0.106,5.4,NA,NA,NA,NA,original,HA003,0.796657907,0.371908403,3.781752275,1.406465449,0.645162599,,,,,,,NA,NA,NA,NA,NA
5,HA004,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5913,4.7,-17.1,5.059,15.08,3.41,5.059,0.151,15.1,0.763,0.034,3.4,0.172,5.2,0.524,0.479,0.427,0.407,original,HA004,0.909153721,0.939233368,1.832923846,1.721543237,NA,4/12/19,Yes,Yes,,,,1.7,0.3,NA,NA,NA
6,HA004,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,11103,3,-17.4,0.5,47.91,7.3,0.499,0.479,47.9,0.239,0.073,7.3,0.036,7.7,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
7,HA005,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5907,4.4,-16.2,5.032,14.76,3.37,5.032,0.148,14.8,0.743,0.034,3.4,0.169,5.1,0.498,0.44,0.387,0.363,original,HA005,0.582298652,0.578887215,1.279159375,0.740489008,NA,4/12/19,Yes,Yes,,,,0.9,2.5,NA,NA,NA
8,HA005,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,11095,3.5,-18.7,0.2,44.83,7,0.195,0.448,44.8,0.087,0.07,7,0.014,7.5,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
9,HA006,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,NA,NA,"Pocillopora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,HA007,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,NA,NA,"Pocillopora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
