Region,Site,Species,Treatment,Nubbin ID,Holobiont,Time,Rack #,Replicate,F,M,Y,Frag,Color
Heron,Harry's Bommie,Pocillopora,Adult,HA001,PdamC33a_sGBR,After,,1,614,2009,604,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA001,PdamC33a_sGBR,After,,2,690,2460,719,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA001,PdamC33a_sGBR,After,,3,604,1914,684,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA003,PdamC33a_sGBR,After,,1,450,2082,783,original,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA003,PdamC33a_sGBR,After,,2,897,2767,683,original,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA003,PdamC33a_sGBR,After,,3,806,2667,697,original,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA004,PdamC33a_sGBR,After,,1,592,2329,745,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA004,PdamC33a_sGBR,After,,2,749,2287,672,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA004,PdamC33a_sGBR,After,,3,690,2807,754,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA005,PdamC33a_sGBR,After,,1,579,2082,721,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA005,PdamC33a_sGBR,After,,2,628,2491,747,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA005,PdamC33a_sGBR,After,,3,598,2372,747,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA006,PdamC33a_sGBR,After,,1,568,2024,719,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA006,PdamC33a_sGBR,After,,2,345,1436,759,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA006,PdamC33a_sGBR,After,,3,627,2716,769,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA007,PdamC33a_sGBR,After,,1,702,2393,706,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA007,PdamC33a_sGBR,After,,2,541,1919,718,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA007,PdamC33a_sGBR,After,,3,558,2049,727,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA008,PdamC33a_sGBR,After,,1,238,830,713,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA008,PdamC33a_sGBR,After,,2,354,1328,733,new,Brown
Heron,Harry's Bommie,Pocillopora,Adult,HA008,PdamC33a_sGBR,After,,3,494,1971,749,new,Brown
Heron,Coral Canyons,Pocillopora,Adult,HA019,PdamC33a_sGBR,After,,1,540,1956,723,new,Brown
Heron,Coral Canyons,Pocillopora,Adult,HA019,PdamC33a_sGBR,After,,2,646,2142,698,new,Brown
