Region,Site,Species,Treatment,Nubbin ID,Rack..,Survival,Percentage.dead,Color1,Color2,Color.Average,Y,,Symbiont.ID,SymbiontID_KB,Coral.ID,CoralID_KB,Holobiont
Heron,Harry's Bommie,Pocillopora,Adult,HA001,4,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Adult,HA002,3,0,100,,,,,,C33a*,C33,Pnew (rel Pdam),Pdam,Pnew (rel Pdam)C33a_sGBR
Heron,Harry's Bommie,Pocillopora,Adult,HA003,6,1,5,5,6,5.5,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Adult,HA004,3,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Adult,HA005,5,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Adult,HA006,6,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Adult,HA007,2,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Adult,HA008,5,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Adult,HA009,3,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Adult,HA010,6,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Adult,HA011,1,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Adult,HA012,1,1,98,2,,2,,,,,,,
Heron,Harry's Bommie,Pocillopora,Adult,HA013,1,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Adult,HA014,2,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Adult,HA015,2,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Adult,HA016,4,,,,,,,MISSING,,,,,
Heron,Coral Canyons,Pocillopora,Adult,HA017,10,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Adult,HA018,8,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Adult,HA019,9,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Adult,HA020,11,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
