Holobiont,Species,Time,Region,Treatment,Sample_ID,Nubbin_ID,host_d15N,host_d13C,host_CN_molar,sym_d15N,sym_d13C,sym_CN_molar
PdamC33a_sGBR,Pocillopora,After,Heron,Adult,HA003,HA003,5.5,-17.1,5.4,,,
PdamC. latusorum,Pocillopora,After,Heron,Adult,HA024,HA024,4.8,-14.8,5.7,,,
PdamC. latusorum,Pocillopora,After,Heron,Adult,HA035,HA035,5,-16.1,6,,,
C78a,Stylophora,After,Heron,Adult,HA050,HA050,5.4,-16.7,5.6,,,
C78a,Stylophora,After,Heron,Adult,HA051,HA051,5.1,-15.7,5.3,,,
C78a,Stylophora,After,Heron,Adult,HA066,HA066,5.3,-15.8,5.5,,,
C8 groupH,Stylophora,After,Heron,Adult,HA067,HA067,4.6,-16.9,5.2,,,
C8 groupH,Stylophora,After,Heron,Adult,HA068,HA068,5.8,-15.9,5.4,,,
C78a,Stylophora,After,Heron,Adult,HA071,HA071,4.6,-15.8,5.5,,,
C8 groupH,Stylophora,After,Heron,Adult,HA083,HA083,5.3,-15.3,5.4,,,
C8 groupH,Stylophora,After,Heron,Adult,HA086,HA086,4,-15.9,5.4,,,
PdamC33a_sGBR,Pocillopora,After,Heron,Juvenile,HJ003,HJ003,4.4,-15.3,5.9,,,
PdamC. latusorum,Pocillopora,After,Heron,Juvenile,HJ008,HJ008,4.9,-17,5.5,,,
C78a,Stylophora,After,Heron,Juvenile,HJ050,HJ050,4,-15.5,5.3,,,
C78a,Stylophora,After,Heron,Juvenile,HJ051,HJ051,5.7,-17.5,5.3,,,
C78a,Stylophora,After,Heron,Juvenile,HJ052,HJ052,,-16.6,6.3,,,
C78a,Stylophora,After,Heron,Juvenile,HJ055,HJ055,4.5,-15.7,5.3,,,
C78a,Stylophora,After,Heron,Juvenile,HJ065,HJ065,4.9,-17.1,5.6,,,
C78a,Stylophora,After,Heron,Juvenile,HJ066,HJ066,4.6,-17,5.1,,,
C78a,Stylophora,After,Heron,Juvenile,HJ067,HJ067,5.1,-16.4,5.3,,,
C78a,Stylophora,After,Heron,Juvenile,HJ071,HJ071,4.1,-17.2,5.4,,,
C8 groupH,Stylophora,After,Heron,Juvenile,HJ081,HJ081,4.4,-16.4,5.3,,,
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA001,HA001,4.3,-16.5,5.5,,,
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA004,HA004,4.7,-17.1,5.2,3,-17.4,7.7
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA005,HA005,4.4,-16.2,5.1,3.5,-18.7,7.5
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA017,HA017,4.4,-15.4,5.2,3.4,-16,6.4
