YYYY,MM,DD,Date,Where,Site,SST_MIN,SST_MAX,Temperature,SSTA@90th_HS,90th_HS>0,DHW,BAA_7day_max,Fill
2014,1,1,2014-01-01,Satellite,NOAA,28.37,29.39,29.01,0.6255,0.32,0,1,
2014,1,2,2014-01-02,Satellite,NOAA,28.25,29.49,28.79,0.5423,0.17,0,1,
2014,1,3,2014-01-03,Satellite,NOAA,28.64,29.83,29.17,0.8923,0.55,0,1,
2014,1,4,2014-01-04,Satellite,NOAA,28.86,30.14,29.4,1.1465,0.79,0,1,
2014,1,5,2014-01-05,Satellite,NOAA,28.98,30.01,29.51,1.211,0.89,0,1,
2014,1,6,2014-01-06,Satellite,NOAA,29.02,30.06,29.55,1.2039,0.92,0,1,
2014,1,7,2014-01-07,Satellite,NOAA,28.86,30.3,29.44,1.1348,0.82,0,1,
2014,1,8,2014-01-08,Satellite,NOAA,28.88,30.05,29.37,1.07,0.75,0,1,
2014,1,9,2014-01-09,Satellite,NOAA,28.78,29.62,29.19,0.8619,0.54,0,1,
2014,1,10,2014-01-10,Satellite,NOAA,28.58,29.3,28.86,0.4887,0.23,0,1,
2014,1,11,2014-01-11,Satellite,NOAA,28.41,29.02,28.74,0.39,0.14,0,1,
2014,1,12,2014-01-12,Satellite,NOAA,28.4,28.94,28.73,0.37,0.12,0,1,
2014,1,13,2014-01-13,Satellite,NOAA,28.52,29.06,28.83,0.3932,0.2,0,1,
2014,1,14,2014-01-14,Satellite,NOAA,28.13,28.69,28.54,0.1303,0,0,1,
2014,1,15,2014-01-15,Satellite,NOAA,27.41,28.58,28.34,-0.14,0,0,1,
2014,1,16,2014-01-16,Satellite,NOAA,27.92,28.52,28.34,-0.1726,0,0,1,
2014,1,17,2014-01-17,Satellite,NOAA,28.27,28.68,28.55,0.119,0,0,1,
2014,1,18,2014-01-18,Satellite,NOAA,27.86,28.69,28.54,-0.0865,0,0,1,
2014,1,19,2014-01-19,Satellite,NOAA,28,29.1,28.71,0.2342,0.06,0,1,
2014,1,20,2014-01-20,Satellite,NOAA,28.09,29.28,29.06,0.5594,0.4,0,1,
2014,1,21,2014-01-21,Satellite,NOAA,28.44,29.16,28.99,0.5168,0.42,0,1,
2014,1,22,2014-01-22,Satellite,NOAA,28.6,29.19,29.15,0.4184,0.31,0,1,
2014,1,23,2014-01-23,Satellite,NOAA,28.61,29.13,28.83,0.3661,0.24,0,1,
2014,1,24,2014-01-24,Satellite,NOAA,28.51,29.02,28.79,0.2723,0.18,0,1,
2014,1,25,2014-01-25,Satellite,NOAA,28.17,29.17,28.95,0.4616,0.36,0,1,
2014,1,26,2014-01-26,Satellite,NOAA,28.2,28.92,28.73,0.2103,0.12,0,1,
2014,1,27,2014-01-27,Satellite,NOAA,28.5,29.29,29.02,0.5458,0.46,0,1,
2014,1,28,2014-01-28,Satellite,NOAA,28.41,29.19,28.96,0.4155,0.34,0,1,
2014,1,29,2014-01-29,Satellite,NOAA,28.44,29.04,28.92,0.3516,0.22,0,1,
2014,1,30,2014-01-30,Satellite,NOAA,27.93,28.55,28.31,-0.2326,0,0,1,
2014,1,31,2014-01-31,Satellite,NOAA,28.2,29.2,28.95,0.3623,0.28,0,1,
2014,2,1,2014-02-01,Satellite,NOAA,28.41,29.16,28.89,0.3068,0.23,0,1,
2014,2,2,2014-02-02,Satellite,NOAA,28.56,29.18,28.98,0.3855,0.31,0,1,
2014,2,3,2014-02-03,Satellite,NOAA,28.37,28.99,28.76,0.1781,0.12,0,1,
2014,2,4,2014-02-04,Satellite,NOAA,28.21,29.05,28.9,0.3045,0.23,0,1,
2014,2,5,2014-02-05,Satellite,NOAA,28.18,29.01,28.88,0.2913,0.23,0,1,
2014,2,6,2014-02-06,Satellite,NOAA,27.86,28.71,28.62,0.0252,0,0,1,
2014,2,7,2014-02-07,Satellite,NOAA,27.78,28.8,28.61,0.0661,0.03,0,1,
