Region,Site,Treatment,Colony #,Found (1/0),Survivorship (1/0),Percentage colony mortality (%),Colony diameter (cm),Color score,Partial bleaching (1/0)
Heron,Harry's Bommie,Adult,HA001,1,1,50,25,3,1
Heron,Harry's Bommie,Adult,HA002,1,1,0,32,6,0
Heron,Harry's Bommie,Adult,HA003,0,,,,,
Heron,Harry's Bommie,Adult,HA004,1,1,0,30,5,0
Heron,Harry's Bommie,Adult,HA005,1,1,15,23,3,
Heron,Harry's Bommie,Adult,HA006,1,1,95,35,1,0
Heron,Harry's Bommie,Adult,HA007,1,1,20,25,2,0
Heron,Harry's Bommie,Adult,HA008,1,1,20,21,5,1
Heron,Harry's Bommie,Adult,HA009,0,,,,,
Heron,Harry's Bommie,Adult,HA010,0,,,,,
Heron,Harry's Bommie,Adult,HA011,1,0,99,28,2,0
Heron,Harry's Bommie,Adult,HA012,0,,,,,
Heron,Coral Canyons,Adult,HA017,1,0,100,30,,
Heron,Coral Canyons,Adult,HA018,0,,,,,
Heron,Coral Canyons,Adult,HA019,1,1,15,27,3,1
Heron,Coral Canyons,Adult,HA020,0,,,,,
Heron,Coral Canyons,Adult,HA021,0,,,,,
Heron,Coral Canyons,Adult,HA022,0,,,,,
Heron,Coral Canyons,Adult,HA023,0,,,,,
Heron,Coral Canyons,Adult,HA024,0,,,,,
Heron,Coral Canyons,Adult,HA025,1,1,10,40,5,0
Heron,Coral Canyons,Adult,HA026,1,1,0,33,5,1
Heron,Coral Canyons,Adult,HA027,0,,,,,
Heron,Coral Canyons,Adult,HA028,0,,,,,
Heron,Pam's Point,Adult,HA033,0,,,,,
Heron,Pam's Point,Adult,HA034,1,1,10,25,3,1
Heron,Pam's Point,Adult,HA035,1,1,0,25,5,0
Heron,Pam's Point,Adult,HA036,1,1,0,28,6,0
Heron,Pam's Point,Adult,HA037,1,1,25,28,5,0
Heron,Pam's Point,Adult,HA038,1,1,0,25,2,1
Heron,Pam's Point,Adult,HA039,1,1,0,25,5,0
Heron,Pam's Point,Adult,HA040,1,1,50,24,5,0
Heron,Pam's Point,Adult,HA041,1,1,0,27,5,0
Heron,Pam's Point,Adult,HA042,1,1,0,26,5,0
Heron,Pam's Point,Adult,HA043,0,,,,,
Heron,Pam's Point,Adult,HA044,1,1,0,23,5,0
Heron,Harry's Bommie,Juvenile,HJ001,0,,,,,
Heron,Harry's Bommie,Juvenile,HJ002,0,,,,,
Heron,Harry's Bommie,Juvenile,HJ003,1,0,100,,,
Heron,Harry's Bommie,Juvenile,HJ004,0,,,,,
Heron,Harry's Bommie,Juvenile,HJ005,0,,,,,
Heron,Harry's Bommie,Juvenile,HJ006,1,1,0,7,5,0
Heron,Harry's Bommie,Juvenile,HJ007,0,,,,,
Heron,Harry's Bommie,Juvenile,HJ008,0,,,,,
Heron,Harry's Bommie,Juvenile,HJ009,0,,,,,
Heron,Harry's Bommie,Juvenile,HJ010,0,,,,,
Heron,Harry's Bommie,Juvenile,HJ011,0,,,,,
Heron,Harry's Bommie,Juvenile,HJ012,1,1,20,12,2,0
Heron,Coral Canyons,Juvenile,HJ017,0,,,,,
Heron,Coral Canyons,Juvenile,HJ018,0,,,,,
Heron,Coral Canyons,Juvenile,HJ019,0,,,,,
Heron,Coral Canyons,Juvenile,HJ020,0,,,,,
Heron,Coral Canyons,Juvenile,HJ021,1,0,98,4,5,0
Heron,Coral Canyons,Juvenile,HJ022,0,,,,,
Heron,Coral Canyons,Juvenile,HJ023,1,0,100,6,,
Heron,Coral Canyons,Juvenile,HJ024,0,,,,,
Heron,Coral Canyons,Juvenile,HJ025,0,,,,,
Heron,Coral Canyons,Juvenile,HJ026,0,,,,,
Heron,Coral Canyons,Juvenile,HJ027,0,,,,,
Heron,Coral Canyons,Juvenile,HJ028,0,,,,,
Heron,Pam's Point,Juvenile,HJ033,0,,,,,
Heron,Pam's Point,Juvenile,HJ034,1,0,100,8,,
Heron,Pam's Point,Juvenile,HJ035,1,0,100,6,,
Heron,Pam's Point,Juvenile,HJ036,1,1,25,10,3,0
Heron,Pam's Point,Juvenile,HJ037,1,0,100,,,
Heron,Pam's Point,Juvenile,HJ038,1,1,75,6,2,1
Heron,Pam's Point,Juvenile,HJ039,0,,,,,
Heron,Pam's Point,Juvenile,HJ040,1,1,0,7,5,0
Heron,Pam's Point,Juvenile,HJ041,0,,,,,
Heron,Pam's Point,Juvenile,HJ042,1,0,99,8,1,0
Heron,Pam's Point,Juvenile,HJ043,1,0,100,7,,
